candidate_id,role,generated_input_n_atoms,generated_input_spacegroup_symbol,generated_input_spacegroup_number,generated_input_n_inequivalent,generated_input_site_fraction,generated_input_law7,generated_primitive_n_atoms,generated_primitive_spacegroup_symbol,generated_primitive_spacegroup_number,generated_primitive_n_inequivalent,generated_primitive_site_fraction,generated_primitive_law7,relaxed_input_n_atoms,relaxed_input_spacegroup_symbol,relaxed_input_spacegroup_number,relaxed_input_n_inequivalent,relaxed_input_site_fraction,relaxed_input_law7,relaxed_primitive_n_atoms,relaxed_primitive_spacegroup_symbol,relaxed_primitive_spacegroup_number,relaxed_primitive_n_inequivalent,relaxed_primitive_site_fraction,relaxed_primitive_law7
candidate_0719,screened,18,Pm,6,18,1.0,False,18,Pmm2,25,18,1.0,False,18,Pmm2,25,18,1.0,False,18,Pmm2,25,18,1.0,False
candidate_0721,priority,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,P4mm,99,10,1.0,False,10,P4mm,99,10,1.0,False
candidate_0730,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False
candidate_0731,priority,16,P-1,2,8,0.5,True,16,P-1,2,8,0.5,True,16,P-1,2,8,0.5,True,16,P-1,2,8,0.5,True
candidate_0735,priority,8,Pm,6,8,1.0,False,8,Amm2,38,6,0.75,False,8,Amm2,38,6,0.75,False,8,Amm2,38,6,0.75,False
candidate_0736,priority,12,Pmm2,25,8,0.6666666666666666,True,12,Pmm2,25,8,0.6666666666666666,True,12,Pmm2,25,8,0.6666666666666666,True,12,Pmm2,25,8,0.6666666666666666,True
candidate_0737,priority,12,Imma,74,6,0.5,True,12,Imma,74,6,0.5,True,12,Imma,74,6,0.5,True,12,Imma,74,6,0.5,True
candidate_0744,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,Cm,8,11,0.7333333333333333,False,15,Cm,8,11,0.7333333333333333,False
candidate_0750,control,10,P2_1/m,11,5,0.5,True,10,P2_1/m,11,5,0.5,True,10,P2_1/m,11,5,0.5,True,10,P2_1/m,11,5,0.5,True
candidate_0751,control,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False
candidate_0752,priority,20,P1,1,20,1.0,False,20,P1,1,20,1.0,False,20,Cmce,64,5,0.25,True,20,Cmce,64,5,0.25,True
candidate_0774,priority,8,P6_3/mmc,194,2,0.25,True,8,P6_3/mmc,194,2,0.25,True,8,P6_3/mmc,194,2,0.25,True,8,P6_3/mmc,194,2,0.25,True
candidate_0775,control,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False
candidate_0782,control,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False
candidate_0785,control,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False
candidate_0788,control,13,Cm,8,13,1.0,False,13,Imm2,44,13,1.0,False,13,Imm2,44,13,1.0,False,13,Imm2,44,13,1.0,False
candidate_0796,control,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True,5,I4/mmm,139,3,0.6,True
candidate_0801,priority,9,C2/m,12,4,0.4444444444444444,True,9,C2/m,12,4,0.4444444444444444,True,9,Fmmm,69,4,0.4444444444444444,True,9,Fmmm,69,4,0.4444444444444444,True
candidate_0802,priority,16,P-1,2,12,0.75,False,16,P-1,2,12,0.75,False,16,Cmcm,63,6,0.375,True,16,Cmcm,63,6,0.375,True
candidate_0803,control,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False,7,Cm,8,7,1.0,False
candidate_0806,control,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False
candidate_0809,priority,16,Cm,8,12,0.75,False,16,P3m1,156,8,0.5,True,16,P6_3/mmc,194,4,0.25,True,16,P6_3/mmc,194,4,0.25,True
candidate_0814,priority,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False
candidate_0817,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0819,control,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False
candidate_0821,priority,16,Cm,8,12,0.75,False,16,P3m1,156,8,0.5,True,16,P-6m2,187,6,0.375,True,16,P-6m2,187,6,0.375,True
candidate_0824,priority,16,Cmc2_1,36,6,0.375,True,16,Cmc2_1,36,6,0.375,True,16,Cmc2_1,36,6,0.375,True,16,Cmc2_1,36,6,0.375,True
candidate_0825,screened,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False,4,Pmm2,25,4,1.0,False
candidate_0832,priority,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False
candidate_0834,priority,12,Cm,8,12,1.0,False,12,P3m1,156,12,1.0,False,12,P3m1,156,12,1.0,False,12,P3m1,156,12,1.0,False
candidate_0838,control,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_0841,control,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False
candidate_0844,priority,10,P4mm,99,10,1.0,False,10,P4mm,99,10,1.0,False,10,P4mm,99,10,1.0,False,10,P4mm,99,10,1.0,False
candidate_0845,priority,12,P2_1/m,11,6,0.5,True,12,Pmmn,59,4,0.3333333333333333,True,12,Pmmn,59,4,0.3333333333333333,True,12,Pmmn,59,4,0.3333333333333333,True
candidate_0848,control,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False,11,Cm,8,11,1.0,False
candidate_0851,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,P-1,2,12,0.75,False,16,P-1,2,12,0.75,False
candidate_0852,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,Cm,8,11,0.7333333333333333,False,15,Cm,8,11,0.7333333333333333,False
candidate_0853,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True
candidate_0858,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False
candidate_0859,screened,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False
candidate_0860,screened,2,P4/mmm,123,2,1.0,False,2,P4/mmm,123,2,1.0,False,2,P4/mmm,123,2,1.0,False,2,P4/mmm,123,2,1.0,False
candidate_0862,screened,18,Pm,6,18,1.0,False,18,Pm,6,18,1.0,False,18,P4mm,99,13,0.7222222222222222,False,18,P4mm,99,13,0.7222222222222222,False
candidate_0864,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False
candidate_0872,control,7,C2/m,12,4,0.5714285714285714,True,7,C2/m,12,4,0.5714285714285714,True,7,C2/m,12,4,0.5714285714285714,True,7,C2/m,12,4,0.5714285714285714,True
candidate_0879,screened,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0883,screened,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False,15,Pmm2,25,15,1.0,False
candidate_0884,priority,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True,12,P2_1/m,11,6,0.5,True
candidate_0885,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True
candidate_0895,priority,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,Cm,8,18,1.0,False,18,Cm,8,18,1.0,False
candidate_0898,control,10,C2/m,12,6,0.6,True,10,C2/m,12,6,0.6,True,10,C2/m,12,6,0.6,True,10,C2/m,12,6,0.6,True
candidate_0899,priority,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False,12,Pmm2,25,12,1.0,False
candidate_0902,screened,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False,19,Pm,6,19,1.0,False
candidate_0908,priority,5,C2/m,12,3,0.6,True,5,C2/m,12,3,0.6,True,5,C2/m,12,3,0.6,True,5,C2/m,12,3,0.6,True
candidate_0926,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Amm2,38,9,0.5625,True,16,Amm2,38,9,0.5625,True
candidate_0927,priority,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False
candidate_0928,screened,10,P4mm,99,10,1.0,False,10,P4mm,99,10,1.0,False,10,P4/mmm,123,6,0.6,True,10,P4/mmm,123,6,0.6,True
candidate_0937,priority,16,Pmm2,25,10,0.625,True,16,Pmmm,47,9,0.5625,True,16,Pmmm,47,9,0.5625,True,16,Pmmm,47,9,0.5625,True
candidate_0939,priority,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False,16,Pm,6,16,1.0,False
candidate_0941,priority,20,P1,1,20,1.0,False,20,P1,1,20,1.0,False,20,Pm,6,20,1.0,False,20,Pm,6,20,1.0,False
candidate_0944,screened,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False
candidate_0946,priority,5,P3m1,156,5,1.0,False,5,P-3m1,164,3,0.6,True,5,P-3m1,164,3,0.6,True,5,P-3m1,164,3,0.6,True
candidate_0951,priority,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,Fdd2,43,3,0.3,True,10,Fdd2,43,3,0.3,True
candidate_0954,screened,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False
candidate_0959,control,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False,6,Amm2,38,6,1.0,False
candidate_0961,control,10,Pm,6,10,1.0,False,10,Pm,6,10,1.0,False,10,Amm2,38,6,0.6,True,10,Amm2,38,6,0.6,True
candidate_0970,priority,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False,14,P1,1,14,1.0,False
candidate_0979,priority,12,Imm2,44,12,1.0,False,12,Imm2,44,12,1.0,False,12,Immm,71,7,0.5833333333333334,True,12,Immm,71,7,0.5833333333333334,True
candidate_0980,screened,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False,18,P1,1,18,1.0,False
candidate_0982,priority,8,Pmm2,25,8,1.0,False,8,Pmm2,25,8,1.0,False,8,Pmmn,59,4,0.5,True,8,Pmmn,59,4,0.5,True
candidate_0990,screened,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False
candidate_0995,screened,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False
candidate_1000,control,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_1005,priority,12,Cm,8,9,0.75,False,12,Cm,8,9,0.75,False,12,Cm,8,9,0.75,False,12,Cm,8,9,0.75,False
candidate_1010,priority,16,P1,1,16,1.0,False,16,P1,1,16,1.0,False,16,Pnma,62,2,0.125,True,8,Pnma,62,2,0.25,True
candidate_1015,control,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False,11,P1,1,11,1.0,False
candidate_1016,priority,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,Fdd2,43,3,0.3,True,10,Fdd2,43,3,0.3,True
candidate_1019,priority,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True,16,C2/m,12,9,0.5625,True
candidate_1020,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cmcm,63,5,0.3125,True,16,Cmcm,63,5,0.3125,True
candidate_1023,priority,18,P-1,2,10,0.5555555555555556,True,18,P-1,2,10,0.5555555555555556,True,18,P-1,2,10,0.5555555555555556,True,18,P-1,2,10,0.5555555555555556,True
candidate_1025,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_1029,priority,16,P-1,2,10,0.625,True,16,P-1,2,10,0.625,True,16,P2_1/m,11,7,0.4375,True,16,P2_1/m,11,7,0.4375,True
candidate_1031,screened,10,P1,1,10,1.0,False,10,P1,1,10,1.0,False,10,Cc,9,5,0.5,True,10,Cc,9,5,0.5,True
candidate_1033,control,15,P-1,2,8,0.5333333333333333,True,15,P-1,2,8,0.5333333333333333,True,15,P-1,2,8,0.5333333333333333,True,15,P-1,2,8,0.5333333333333333,True
candidate_1034,priority,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False,12,Pm,6,12,1.0,False
candidate_1035,control,8,Imm2,44,8,1.0,False,8,Imm2,44,8,1.0,False,8,Immm,71,5,0.625,True,8,Immm,71,5,0.625,True
candidate_1048,screened,18,Pmm2,25,18,1.0,False,18,Pmm2,25,18,1.0,False,18,Pmm2,25,18,1.0,False,18,Pmm2,25,18,1.0,False
candidate_1050,priority,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False,16,Cm,8,12,0.75,False
candidate_1053,control,10,Cm,8,10,1.0,False,10,Cm,8,10,1.0,False,10,C2/m,12,6,0.6,True,10,C2/m,12,6,0.6,True
candidate_1064,priority,12,I4mm,107,9,0.75,False,12,I4mm,107,9,0.75,False,12,I4/mmm,139,5,0.4166666666666667,True,12,I4/mmm,139,5,0.4166666666666667,True
candidate_1078,screened,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False,15,P1,1,15,1.0,False
